building_name,num_floors,primary_usage,sqft,sub_primary_usage,year_built
Capstone Village,5,Lodging/residential,250000,Senior Care Community,2005
Carmichael Hall,3,Office,40000,College Classroom,1925
Chi Omega,3,Lodging/residential,40000,Dormitory,2016
Chi Phi,3,Lodging/residential,15000,Dormitory,1960
Child Development Research Center,2,Education,18000,College Classroom,2003
Child and Family Research Clinic,1,Healthcare,12000,Urgent Care Center/Clinic/Other Outpatient Office,1990
Clark Hall,3,Office,15000,Office,1884
Coleman Coliseum,3,Entertainment/public assembly,280000,Sports Arena,1968
Cyber Hall,2,Technology/science,40000,College Laboratory,2015
Delta Chi,3,Lodging/residential,25000,Dormitory,2010
Delta Delta Delta,3,Lodging/residential,40000,Dormitory,2017
Delta Gamma,3,Lodging/residential,40000,Dormitory,2013
Delta Kappa Epsilon,3,Lodging/residential,20000,Dormitory,2010
Delta Sigma Theta,3,Lodging/residential,15000,Dormitory,2022
Delta Tau Delta,3,Lodging/residential,32000,Dormitory,2010
Delta Zeta,3,Lodging/residential,40000,Dormitory,2014
Denny Chimes,1,Entertainment/public assembly,500,Other - Entertainment/Public Assembly,1929
Doster Hall,3,Education,45000,College Classroom,1929
Drummond Lyon Hall,4,Education,25000,College Classroom,2023
East Annex,2,Office,15000,Office,1950
East Edge,4,Lodging/residential,150000,Dormitory,2015
Employee Resource Center,2,Office,10000,Office,2010
English Building,3,Education,18000,College Classroom,1906
FarmHouse,3,Lodging/residential,18000,Dormitory,1960
Farrah Hall,4,Education,55000,College Classroom,1927
Foster Auditorium,2,Entertainment/public assembly,75000,Auditorium,1939
Gallalee Hall,3,Education,35000,College Classroom,1950
Gamma Phi Beta,3,Lodging/residential,38000,Dormitory,2015
Garland Hall,3,Education,20000,College Classroom,1888
Geological Survey of Alabama Building,3,Public services,80000,Office,1960
Gordon Palmer Hall,4,Education,140000,College Classroom,1969
Gorgas House Museum,2,Entertainment/public assembly,5000,Museum,1829
Gorgas Library,5,Education,250000,Library,1939
Gorgas Machine Shop,1,Utility,8000,College Laboratory,1940
Greek Assembly Hall,2,Entertainment/public assembly,15000,Social/Meeting Hall,2022
H.M. Comer Hall,3,Education,75973,College Classroom,1962
Hank Crisp Indoor Facility,1,Entertainment/public assembly,130000,Gymnasium,1986
Hardaway Hall,3,Education,85000,College Classroom,1936
Harris Hall,2,Lodging/residential,135000,Dormitory,1939
Hewson Hall,4,Education,108000,College Classroom,2021
Highlands,3,Lodging/residential,160000,Dormitory,1970
Holle Center for Communication Arts,2,Education,30000,College Classroom,2021
Honors Hall,3,Education,15000,College Classroom,1854
Houser Hall,3,Education,45000,College Classroom,1948
John England Jr. Hall,4,Lodging/residential,139044,Dormitory,2018
Judy Bonner Child Development Center,2,Education,25000,K-12 School,2003
Kappa Alpha Order,3,Lodging/residential,32000,Dormitory,2010
Kappa Alpha Theta,3,Lodging/residential,38000,Dormitory,2010
Kappa Delta,3,Lodging/residential,40000,Dormitory,2014
Kappa Kappa Gamma,3,Lodging/residential,40000,Dormitory,2013
Kappa Sigma,3,Lodging/residential,32000,Dormitory,2010
Lakeside East,4,Lodging/residential,160000,Dormitory,2006
Lakeside West,4,Lodging/residential,160000,Dormitory,2006
Lambda Chi Alpha,3,Lodging/residential,32000,Dormitory,2010
Law Center,3,Education,175000,College Classroom,1977
Little Hall,3,Education,35000,College Classroom,1914
Lloyd Hall,4,Education,110000,College Classroom,1927
Magnolia House,1,Office,15000,Office,1950
Mal M. Moore Athletic Facility,2,Education,120000,Office,1985
Martha Parham Hall East,4,Lodging/residential,120000,Dormitory,1964
Martha Parham Hall West,4,Lodging/residential,120000,Dormitory,1964
Mary Harmon Bryant Hall,2,Education,65000,College Classroom,1936
Math & Science Education Building,3,Education,45000,College Classroom,2010
Maxwell Hall,2,Education,5000,College Classroom,1854
McClure Library,2,Education,25000,Library,1925
Moody Music Building,3,Education,110000,College Classroom,1987
Morgan Hall,3,Education,85000,College Classroom,1911
North Engineering Research Center,4,Technology/science,206000,College Laboratory,2013
North Lawn Hall,2,Education,85000,College Classroom,2016
Northeast Medical Building,2,Healthcare,35000,Health Services,2010
Oliver-Barnard Hall,2,Education,15000,College Classroom,1888
Osband Hall,2,Office,33000,Office,1950
Parker-Haun Tennis Facility,1,Entertainment/public assembly,8000,Athletic Field,2013
Paty Hall,4,Lodging/residential,140000,Dormitory,1962
Phi Delta Theta,3,Lodging/residential,32000,Dormitory,2010
Phi Gamma Delta,3,Lodging/residential,32000,Dormitory,2010
Phi Kappa Psi,3,Lodging/residential,32000,Dormitory,2010
Phi Kappa Sigma,3,Lodging/residential,32000,Dormitory,2010
Phi Kappa Tau,3,Lodging/residential,32000,Dormitory,2010
Phi Mu,3,Lodging/residential,40000,Dormitory,2016
Pi Beta Phi,3,Lodging/residential,40000,Dormitory,2016
Pi Kappa Alpha,3,Lodging/residential,35000,Dormitory,2010
Pi Kappa Phi,3,Lodging/residential,32000,Dormitory,2010
President's Mansion,3,Lodging/residential,15000,Other - Lodging/Residential,1841
Presidential Village I,7,Lodging/residential,350000,Dormitory,2012
Presidential Village II,7,Lodging/residential,350000,Dormitory,2014
Presidents Hall,3,Lodging/residential,135000,Dormitory,1966
Randall Welcome Center,2,Public services,18000,Office,2023
Reese Phifer Hall,4,Education,110000,College Classroom,1929
Rhoads Stadium,1,Entertainment/public assembly,15000,Sports Stadium,2000
Ridgecrest East,5,Lodging/residential,240000,Dormitory,2007
Ridgecrest North,7,Lodging/residential,240000,Dormitory,2007
Ridgecrest South,7,Lodging/residential,480000,Dormitory,2007
Ridgecrest West,5,Lodging/residential,240000,Dormitory,2007
Riverside East,4,Lodging/residential,180000,Dormitory,2005
Riverside North,4,Lodging/residential,180000,Dormitory,2005
Riverside South,4,Lodging/residential,180000,Dormitory,2005
Riverside West,4,Lodging/residential,180000,Dormitory,2005
Robert E. Witt Student Activity Center,3,Entertainment/public assembly,115000,Fitness Center,2014
Roberta Alison Baumgardner Tennis Facility,1,Entertainment/public assembly,12000,Athletic Field,2012
Rodgers Library,2,Education,35000,Library,1990
Rose Administration Building,3,Office,85000,Office,1969
Rowand-Johnson Building,3,Education,85000,Theater,1955
Russell Hall,4,Education,55000,College Classroom,1968
Saban Field at Bryant-Denny Stadium,10,Entertainment/public assembly,950000,Sports Stadium,1929
Sam Bailey Track and Field Stadium,1,Entertainment/public assembly,12000,Sports Stadium,1970
Sarah Moody Gallery,1,Entertainment/public assembly,5000,Museum,1980
Science and Engineering Complex,4,Technology/science,217000,College Laboratory,2004
Scientific Collections Facility,1,Technology/science,20000,Other - Education,2010
Sewell-Thomas Stadium,3,Entertainment/public assembly,65000,Sports Stadium,1948
Shelby Hall,4,Technology/science,200000,College Classroom,2004
Sigma Alpha Epsilon,3,Lodging/residential,32000,Dormitory,1904
Sigma Chi,3,Lodging/residential,32000,Dormitory,2010
Sigma Delta Tau,3,Lodging/residential,25000,Dormitory,2010
Sigma Gamma Rho,3,Lodging/residential,10000,Dormitory,2022
Sigma Kappa,3,Lodging/residential,38000,Dormitory,2010
Sigma Nu,3,Lodging/residential,32000,Dormitory,2012
Sigma Phi Epsilon,3,Lodging/residential,32000,Dormitory,2010
Sigma Pi,3,Lodging/residential,25000,Dormitory,2010
Smart Communities and Innovation Building,3,Technology/science,45000,College Laboratory,2024
Smith Family Center for the Performing Arts,3,Entertainment/public assembly,130000,Theater,2026
Smith Hall,3,Education,60000,Museum,1910
Smith Woods,1,Lodging/residential,45000,Dormitory,1940
South Engineering Research Center,4,Technology/science,175000,College Laboratory,2012
Speech and Hearing Building,2,Healthcare,25000,Urgent Care Center/Clinic/Other Outpatient Office,1960
Stallings Center,1,Education,35000,Primary/Secondary Classroom,1993
State Oil and Gas Board Building,2,Public services,45000,Office,1970
Stran-Hardin Arena,2,Entertainment/public assembly,27000,Sports Arena,2018
Student Center,3,Entertainment/public assembly,200000,Student Union,1973
Student Health Center,2,Healthcare,65000,Urgent Care Center/Clinic/Other Outpatient Office,2000
Student Recreation Center,2,Entertainment/public assembly,200000,Fitness Center,1990
Student Services Center,3,Public services,120000,Office,1990
Temple Tutwiler Hall,5,Office,15000,Office,1968
Ten Hoor Hall,3,Education,115000,College Classroom,1963
Theta Chi,3,Lodging/residential,32000,Dormitory,2010
Tuomey Hall,2,Education,15000,College Classroom,1889
Tutwiler Hall,5,Lodging/residential,383000,Dormitory,2022
USGS Hydrologic Instrumentation Facility,2,Technology/science,30000,Technology/science,2024
University Club,2,Entertainment/public assembly,15000,Restaurant,1834
University Early Childhood Development and Education Center,1,Education,25000,K-12 School,2003
University Hall,3,Education,85000,College Classroom,2018
University Medical Center,3,Healthcare,85000,Hospital,1970
University Police Department,2,Public services,15000,Police Station,1970
University Printing Services,1,Utility,25000,Utility,1960
University Supply Store at the Corner,2,Food sales and service,10000,Other - Public Services,1925
Varsity Tennis Stadium,1,Entertainment/public assembly,15000,Sports Stadium,2012
Wade Hall,2,Education,20000,College Classroom,1935
Wilson Hall,3,Education,35000,College Classroom,1960
Woods Hall,3,Education,40000,College Classroom,1868
Zeta Beta Tau,3,Lodging/residential,32000,Dormitory,2010
Zeta Tau Alpha,3,Lodging/residential,40000,Dormitory,2015
